lemma,genus,nominativ plural
KZ-Nummer,f,KZ-Nummern
Kaaba,f,
Kaarst,,
Kab,m,Kab
Kabale,f,Kabalen
Kabalist,m,Kabalisten
Kabanossi,f,Kabanossi
Kabardinisch,,
Kabarett,n,Kabarette
Kabarettist,m,Kabarettisten
Kabarettistin,f,Kabarettistinnen
Kabbala,f,
Kabbalist,m,Kabbalisten
Kabbelei,f,Kabbeleien
Kabel,n,Kabel
Kabelbaum,m,Kabelbäume
Kabelbinder,m,Kabelbinder
Kabelbrand,m,Kabelbrände
Kabelbruch,m,Kabelbrüche
Kabeljau,m,
Kabelkanal,m,Kabelkanäle
Kabelkran,m,
Kabelleger,m,Kabelleger
Kabelnetzbetreiber,m,Kabelnetzbetreiber
Kabelpritsche,f,Kabelpritschen
Kabelsalat,m, Kabelsalate
Kabelschacht,m,Kabelschächte
Kabelschott,n,Kabelschotten
Kabine,f,Kabinen
Kabinenroller,m,Kabinenroller
Kabinett,n,Kabinette
Kabinettsbeschluss,m,Kabinettsbeschlüsse
Kabinettsentscheidung,f,Kabinettsentscheidungen
Kabinettskrieg,m,Kabinettskriege
Kabinettsmitglied,n,Kabinettsmitglieder
Kabinettstisch,m,Kabinettstische
Kabinettstück,n,Kabinettstücke
Kabod,m,
Kabriolett,n,Kabrioletts
Kabuff,n,Kabuffs
Kabuki,n,
Kabul,,
Kabul,m,
Kabylisch,,
Kachel,f,Kacheln
Kachel,,
Kachelofen,m,Kachelöfen
Kachelotplate,f,
Kachexie,f,Kachexien
Kachin,,Kachin
Kackbratze,f,Kackbratzen
Kackbraun,,
Kacke,f,
Kacker,m,Kacker
Kackerin,f,Kackerinnen
Kackstein,,
Kackstelze,f,Kackstelzen
Kackwurst,f,Kackwürste
Kadaver,m,Kadaver
Kadavergehorsam,m,
Kadaverin,n,Kadaverine
Kadaversammelstelle,f,Kadaversammelstellen
Kaddig,m,
Kaddik,m,
Kaddisch,n,
Kadenz,f,Kadenzen
Kader,,Kader
Kaderschmiede,f,Kaderschmieden
Kadett,m,Kadetten
Kadett,m,Kadetts
Kadettenanstalt,f,Kadettenanstalten
Kadettin,f,Kadettinnen
Kadi,m,Kadis
Kadmium,n,
Kadmiumsulfid,n,
Kadmiumsulfit,n,
Kadrierung,f,Kadrierungen
Kaduzierung,f,Kaduzierungen
Kaduzität,f,
Kaff,n,
Kaff,n,
Kaffee,m,Kaffees
Kaffee,n,Kaffees
Kaffee-Ernte,f,Kaffee-Ernten
Kaffee-Export,m,Kaffee-Exporte
Kaffeeautomat,m,Kaffeeautomaten
Kaffeebecher,m,Kaffeebecher
Kaffeebohne,f,Kaffeebohnen
Kaffeebüchse,f,Kaffeebüchsen
Kaffeedose,f,Kaffeedosen
Kaffeeduft,m,Kaffeedüfte
Kaffeedurst,m,
Kaffeeernte,f,Kaffeeernten
Kaffeefilter,,Kaffeefilter
Kaffeegeruch,m,Kaffeegerüche
Kaffeehandel,m,
Kaffeehaus,n,Kaffeehäuser
Kaffeehausbesitzer,m,Kaffeehausbesitzer
Kaffeehausbesucher,m,Kaffeehausbesucher
Kaffeehausliterat,m,Kaffeehausliteraten
Kaffeehausliteratin,f,Kaffeehausliteratinnen
Kaffeeimport,m,Kaffeeimporte
Kaffeekanne,f,Kaffeekannen
Kaffeekasse,f,Kaffeekassen
Kaffeeklatsch,m,Kaffeeklatsche
Kaffeekonsum,m,
Kaffeelöffel,m,Kaffeelöffel
Kaffeemaschine,f,Kaffeemaschinen
Kaffeemühle,f,Kaffeemühlen
Kaffeeobers,n,
Kaffeepause,f,Kaffeepausen
Kaffeeplantage,f,Kaffeeplantagen
Kaffeerahm,m,
Kaffeerösterei,f,Kaffeeröstereien
Kaffeesachse,m,Kaffeesachsen
Kaffeesahne,f,
Kaffeesatz,m,Kaffeesätze
Kaffeesorte,f,Kaffeesorten
Kaffeestube,f,Kaffeestuben
Kaffeetasse,f,Kaffeetassen
Kaffeetrinken,n,
Kaffeetrinker,m,Kaffeetrinker
Kaffeetrinkerin,f,Kaffeetrinkerinnen
Kaffeewasser,n,
Kaffeezeremonie,f,Kaffeezeremonien
Kaffer,m,Kaffern
Kaffer,m,Kaffer
Kafir,m,
Kafka,,
Kaftan,m,
Kagura,m,Kaguras
Kahal,m,Kahals
Kahba,f,Kahbas
Kahla,,
Kahlenberg,m,Kahlenberge
Kahlhecht,m,Kahlhechte
Kahlköpfigkeit,f,
Kahlschlag,m,Kahlschläge
Kahlschlagsanierung,f,Kahlschlagsanierungen
Kahlwild,n,
Kahm,m,
Kahn,m,Kähne
Kahn,,
Kahnbein,n,Kahnbeine
Kahnbein-Bruch,,
Kahnbeinbruch,m,Kahnbeinbrüche
Kahoolawe,,
Kai,m,Kais
Kai,,
Kaianlage,f,Kaianlagen
Kaik,f,Kaiks
Kailoff,m,Kailoffe
Kaiman,m,Kaimane
Kaimauer,f,Kaimauern
Kainsmal,n,Kainsmale
Kairener,m,Kairener
Kairo,,
Kairoer,m,Kairoer
Kairoerin,f,Kairoerinnen
Kairos,m,Kairoi
Kais,,
Kaiser,m,Kaiser
Kaiser,,
Kaiser-Wilhelm-Kanal,m,
Kaiseradler,m,Kaiseradler
Kaiserbrötchen,n,Kaiserbrötchen
Kaisergans,f,Kaisergänse
Kaiserin,f,Kaiserinnen
Kaiserjäger,m,Kaiserjäger
Kaiserkapelle,f,Kaiserkapellen
Kaiserliche Marine,f,
Kaiserling,m,Kaiserlinge
Kaiserpfalz,f,Kaiserpfalzen
Kaiserpilz,m,Kaiserpilze
Kaiserpinguin,m,Kaiserpinguine
Kaiserreich,n,Kaiserreiche
Kaisers,,
Kaiserschmarren,m,Kaiserschmarren
Kaiserschmarrn,m,
Kaiserschnitt,m,Kaiserschnitte
Kaisersemmel,f,Kaisersemmeln
Kaisersesch,,
Kaiserslautern,,
Kaisertum,n,Kaisertümer
Kaiserwetter,n,–
Kaiserzeit,f,Kaiserzeiten
Kaizen,n,
Kajak,,Kajaks
Kajal,,
Kajalstift,m,Kajalstifte
Kajalstrich,m,Kajalstriche
Kajetan,,
Kajüte,f,Kajüten
Kak,m,Kake
Kaka,m,Kakas
Kakadu,m,Kakadus
Kakao,m,Kakaos
Kakaobaum,m,Kakaobäume
Kakaobohne,f,Kakaobohnen
Kakaobutter,f,
Kakaomasse,f,Kakaomassen
Kakaopulver,n,Kakaopulver
Kakapo,m,Kakapos
Kakemono,n,Kakemonos
Kakerlak,,Kakerlaken
Kakerlake,f,Kakerlaken
Kaki,f,Kakis
Kaki,m,
Kaki,n,
Kakibaum,m,Kakibäume
Kakophonie,f,Kakophonien
Kakostomie,f,
Kaktee,f,Kakteen
Kaktus,m,
Kaktusbirne,f,Kaktusbirnen
Kaktusfeige,f,Kaktusfeigen
Kalabrien,,
Kalahari,f,
Kalamit,m,Kalamiten
Kalamität,f,Kalamitäten
Kaland,m,Kalande
Kalaschnikow,f,Kalaschnikows
Kalauer,m,Kalauer
Kalaumes,n,
Kalb,n,Kälber
Kalbe,f,Kalben
Kalbe,,
Kalbfleisch,n,
Kalbin,f,Kalbinnen
Kalbsbraten,m,Kalbsbraten
Kalbsbries,n,Kalbsbriese
Kalbshachse,f,Kalbshachsen
Kalbshaxe,f,Kalbshaxen
Kalbskopf,m,Kalbsköpfe
Kalbsleber,f,Kalbslebern
Kalbsleder,n,Kalbsleder
Kaldarium,n,Kaldarien
Kaldera,f,Kalderen
Kalebasse,f,Kalebassen
Kaleidoskop,n,Kaleidoskope
Kalender,m,Kalender
Kalenderblatt,n,Kalenderblätter
Kalenderjahr,n,Kalenderjahre
Kalenderwoche,f,Kalenderwochen
Kalesche,f,Kaleschen
Kaleu,m,Kaleus
Kalfaktor,m,Kalfaktoren
Kali,n,
Kaliber,n,Kaliber
Kalif,m,Kalifen
Kalifat,n,Kalifate
Kalifornien,,
Kalifornier,m,Kalifornier
Kalifornierin,f,Kalifornierinnen
Kalifornisierung,f,
Kalifornium,n,
Kaliko,m,Kalikos
Kaliningrad,,
Kalium,n,
Kaliumatom,n,Kaliumatome
Kaliumgehalt,m,Kaliumgehalte
Kaliumphosphat,n,Kaliumphosphate
Kaliumsalz,n,Kaliumsalze
Kaliumverbindung,f,Kaliumverbindungen
Kalk,m,Kalke
Kalk,,
Kalkar,,
Kalkgehalt,m,Kalkgehalte
Kalkmilch,f,
Kalksinter,m,Kalksinter
Kalkstein,m,Kalksteine
Kalksteinbruch,m,Kalksteinbrüche
Kalkulation,f,Kalkulationen
Kalkutta,,
Kalkwerk,n,Kalkwerke
Kalkül,,Kalküle
Kalligraf,m,Kalligrafen
Kalligrafie,f,
Kalligraph,m,Kalligraphen
Kalligraphie,f,
Kalliope,,
Kallistik,f,
Kallus,m,
Kallus,,
Kalmar,m,Kalmare
Kalmar,,
Kalmus,m,Kalmusse
Kalmuswurzel,f,Kalmuswurzeln
Kalmückisch,,
Kalokratie,f,
Kalorie,f,Kalorien
Kalorienbedarf,m,Kalorienbedarfe
Kalorienwert,m,
Kalorimeter,n,Kalorimeter
Kalotte,f,Kalotten
Kaltakquise,f,Kaltakquisen
Kaltblut,n,
Kaltblüter,m,Kaltblüter
Kalte Sophie,f,
Kaltenbrunner,,
Kaltenkirchen,,
Kaltennordheim,,
Kalter Krieg,m,
Kaltgerätebuchse,f,Kaltgerätebuchsen
Kaltgerätestecker,m,Kaltgerätestecker
Kaltherzigkeit,f,
Kaltleiter,m,Kaltleiter
Kaltmamsell,f,Kaltmamsells
Kaltmiete,f,Kaltmieten
Kaltplasma,n,Kaltplasmen
Kaltregenwald,m,Kaltregenwälder
Kaltspeise,f,Kaltspeisen
Kaltwasser,n,–
Kaltwasser-Geysir,m,Kaltwasser-Geysire
Kaltwasserhahn,m,Kaltwasserhähne
Kaltwelle,f,Kaltwellen
Kaluga,,
Kalumet,n,Kalumets
Kalvarienberg,m,Kalvarienberge
Kalvarienberg,m,
Kalvarienbergkapelle,f,Kalvarienbergkapellen
Kalvarienkapelle,f,Kalvarienkapellen
Kalvill,m,Kalvillen
Kalziferol,n,
Kalzit,m,Kalzite
Kalzium,n,
Kalziurie,f,Kalziurien
Kam-Tai-Sprache,f,Kam-Tai-Sprachen
Kama,f,
Kamaldulenser,m,Kamaldulenser
Kambium,n,Kambien
Kambodscha,,
Kambodschaner,m,Kambodschaner
Kambodschanerin,f,Kambodschanerinnen
Kambodschanisch,,
Kambrium,n,
Kamee,f,Kameen
Kamel,n,Kamele
Kamelferse,f,Kamelfersen
Kamelfleisch,n,
Kamelie,f,Kamelien
Kamelkarawane,f,Kamelkarawanen
Kamelle,f,Kamellen
Kamellen,,Kamellen
Kamelmilch,f,
Kamelpost,f,Kamelposten
Kameltreiber,m,Kameltreiber
Kamen,,
Kamenz,,
Kamera,f,Kameras
Kamerad,m,Kameraden
Kameraderie,f,
Kameradrohne,f,Kameradrohnen
Kameradschaft,f,Kameradschaften
Kameradschaftsehe,f,Kameradschaftsehen
Kamerafahrt,f,Kamerafahrten
Kamerafrau,f,Kamerafrauen
Kameraleute,,Kameraleute
Kameralistik,f,
Kameramann,m,
Kameraobjektiv,n,Kameraobjektive
Kamerarekorder,m,Kamerarekorder
Kamerun,,
Kamerun,n,?
Kameruner,m,Kameruner
Kamerunerin,f,Kamerunerinnen
Kamerunnuss,f,Kamerunnüsse
Kami,m,Kami
Kamikaze,m,
Kamille,f,Kamillen
Kamillentee,m,Kamillentees
Kamin,,Kamine
Kaminfeuer,n,Kaminfeuer
Kaminschirm,m,Kaminschirme
Kamishibai,n,
Kamm,m,Kämme
Kammel,f,
Kammer,f,Kammern
Kammer,,
Kammerdiener,m,Kammerdiener
Kammerentscheidung,f,Kammerentscheidungen
Kammerflimmern,n,
Kammerjäger,m,Kammerjäger
Kammermusik,f,
Kammerorchester,n,Kammerorchester
Kammersonate,f,Kammersonaten
Kammerton,m,Kammertöne
Kammgarn,n,Kammgarne
Kammklemme,f,Kammklemmen
Kammlinie,f,Kammlinien
Kammmacher,m,Kammmacher
Kammmolch,m,Kammmolche
Kammmuschel,f,Kammmuscheln
Kammrad,n,Kammräder
Kamorra,f,–
Kamp-Lintfort,,
Kampagne,f,Kampagnen
Kampala,,
Kampanien,,
Kampanile,m,
Kampf,m,Kämpfe
Kampfabstimmung,f,Kampfabstimmungen
Kampfanzug,m,Kampfanzüge
Kampfausrüstung,f,Kampfausrüstungen
Kampfbegriff,m,Kampfbegriffe
Kampfboot,n,Kampfboote
Kampfdroide,m,Kampfdroiden
Kampfer,m,
Kampfeslust,f,
Kampfeswort,,
Kampfflieger,m,Kampfflieger
Kampfflugzeug,n,Kampfflugzeuge
Kampfgebiet,n,Kampfgebiete
Kampfhahn,m,Kampfhähne
Kampfhandlung,f,Kampfhandlungen
Kampfhubschrauber,m,Kampfhubschrauber
Kampfhund,m,Kampfhunde
Kampfjet,m,Kampfjets
Kampfkraft,f,Kampfkräfte
Kampfkunst,f,Kampfkünste
Kampflinie,f,Kampflinien
Kampfläufer,m,Kampfläufer
Kampfmittel,n,Kampfmittel
Kampfmittelbeseitigungsdienst,m,Kampfmittelbeseitigungsdienste
Kampfmittelräumdienst,m,Kampfmittelräumdienste
Kampfmittelräumung,f,Kampfmittelräumungen
Kampfname,m,Kampfnamen
Kampfpanzer,m,Kampfpanzer
Kampfpilot,m,Kampfpiloten
Kampfplatz,m,Kampfplätze
Kampfpreis,m,Kampfpreise
Kampfradler,m,Kampfradler
Kampfschiff,n,Kampfschiffe
Kampfschwimmer,m,Kampfschwimmer
Kampfsport,m,
Kampfspur,f,Kampfspuren
Kampftruppe,f,Kampftruppen
Kampfverlauf,m,Kampfverläufe
Kampfwagen,m,
Kampfwort,n,Kampfwörter
Kampschulte,,
Kamtschatka,,
Kamtschatka,f,
Kamuffel,n,Kamuffel
Kanaanäer,m,Kanaanäer
Kanaanäisch,,
Kanacke,m,Kanacken
Kanada,,
Kanadabalsam,m,
Kanadagans,f,Kanadagänse
Kanadawaldsänger,m,Kanadawaldsänger
Kanadier,m,Kanadier
Kanadierin,f,Kanadierinnen
Kanaille,f,Kanaillen
Kanak Sprak,f,
Kanak-Sprak,f,
Kanake,m,Kanaken
Kanakendeutsch,n,
Kanal,m,Kanäle
Kanalarbeiter,m,Kanalarbeiter
Kanalbrücke,f,Kanalbrücken
Kanaldeckel,m,Kanaldeckel
Kanaleinbaugerät,n,Kanaleinbaugeräte
Kanalgas,n,Kanalgase
Kanalgitter,n,Kanalgitter
Kanalisation,f,Kanalisationen
Kanalklinker,m,Kanalklinker
Kanalnetz,n,Kanalnetze
Kanalratte,f,Kanalratten
Kanalratz,m,Kanalratze
Kanalschalldämpfer,m,Kanalschalldämpfer
Kanaltunnel,m,
Kanalverzweigung,f,Kanalverzweigungen
Kanamüller,,
Kanapee,n,Kanapees
Kanaresisch,,
Kanari,m,
Kanarienvogel,m,Kanarienvögel
Kanarische Inseln,f,
Kandahar,,
Kandare,f,Kandaren
Kandel,,
Kandel,,
Kandel,m,
Kandelaber,m,Kandelaber
Kandelzucker,m,
Kanderl,n,Kanderln
Kandern,,
Kandidat,m,Kandidaten
Kandidatenantrag,m,Kandidatenanträge
Kandidatenturnier,n,Kandidatenturniere
Kandidatin,f,Kandidatinnen
Kandidatur,f,Kandidaturen
Kandis,m,
Kandiszucker,m,
Kanditen,,Kanditen
Kanevas,m,Kanevas
Kangchendzönga,m,
Kanin,n,Kanine
Kaninchen,n,Kaninchen
Kaninchenbau,m,Kaninchenbaue
Kaninchenfell,n,Kaninchenfelle
Kaninchenfleisch,n,
Kaninchenfutter,n,
Kaninchenkänguru,n,Kaninchenkängurus
Kaninchenleber,f,Kaninchenlebern
Kaninchenstall,m,Kaninchenställe
Kaninchenzucht,f,
Kaninchenzüchter,m,Kaninchenzüchter
Kaninchenzüchterin,f,Kaninchenzüchterinnen
Kanister,m,Kanister
Kanji,n,
Kannada,,
Kanne,f,Kannen
Kannengießer,m,Kannengießer
Kannibale,m,Kannibalen
Kannibalenwitz,m,Kannibalenwitze
Kannibalin,f,Kannibalinnen
Kannibalismus,m,
Kannuschi,m,Kannuschi
Kanon,m,
Kanon,f,
Kanonade,f,Kanonaden
Kanone,f,Kanonen
Kanonenboot,n,Kanonenboote
Kanonenbootpolitik,f,
Kanonendonner,m,
Kanonenfutter,n,
Kanonenkugel,f,Kanonenkugeln
Kanonenluke,f,Kanonenluken
Kanonenofen,m,Kanonenöfen
Kanonenrohr,n,Kanonenrohre
Kanonenschlag,m,Kanonenschläge
Kanonenschuss,m,Kanonenschüsse
Kanonenturm,m,Kanonentürme
Kanonier,m,Kanoniere
Kanonierblume,f,Kanonierblumen
Kanonierin,f,Kanonierinnen
Kanonisation,f,Kanonisationen
Kanonisierung,f,Kanonisierungen
Kanonist,m,Kanonisten
Kanope,f,Kanopen
Kansas,,
Kant,,
Kant,,
Kantabilität,f,
Kantabrien,,
Kante,f,Kanten
Kantel,f,Kanteln
Kanten,m,Kanten
Kantenlänge,f,Kantenlängen
Kantersieg,m,Kantersiege
Kantharos,m,Kantharoi
Kantholz,n,Kanthölzer
Kantianer,m,Kantianer
Kantianerin,f,Kantianerinnen
Kantianismus,m,
Kantine,f,Kantinen
Kantinenessen,n,Kantinenessen
Kantinenkoch,m,Kantinenköche
Kantinenkost,f,
Kantineur,m,Kantineure
Kantiniere,f,Kantinieren
Kanton,m,Kantone
Kanton,,
Kantonalbank,f,Kantonalbanken
Kantonesisch,,
Kantonspolizei,f,Kantonspolizeien
Kantonsregierung,f,Kantonsregierungen
Kantonsspital,,Kantonsspitäler
Kantor,m,Kantoren
Kantstein,m,Kantsteine
Kanu,n,Kanus
Kanufahrer,m,Kanufahrer
Kanufahrerin,f,Kanufahrerinnen
Kanufahrt,f,Kanufahrten
Kanun,m,Kanuns
Kanun,m,
Kanurennsport,m,
Kanuri,,
Kanuslalom,m,Kanuslaloms
Kanusport,m,
Kanute,m,Kanuten
Kanzel,f,Kanzeln
Kanzelberedsamkeit,f,
Kanzelmissbrauch,m,
Kanzelmissbrauchsparagraph,m,
Kanzelredner,m,Kanzelredner
Kanzelrednerton,m,
Kanzlei,f,Kanzleien
Kanzleisprache,f,Kanzleisprachen
Kanzleistil,m,
Kanzler,m,Kanzler
Kanzleramt,n,Kanzlerämter
Kanzleramtsminister,m,Kanzleramtsminister
Kanzlerin,f,Kanzlerinnen
Kanzlerkandidat,m,Kanzlerkandidaten
Kanzlerkandidatin,f,Kanzlerkandidatinnen
Kanzlermehrheit,f,Kanzlermehrheiten
Kanzlerschaft,f,Kanzlerschaften
Kanzlerwahlverein,m,Kanzlerwahlvereine
Kanälchen,n,Kanälchen
Kanüle,f,Kanülen
Kaolin,,Kaoline
Kaon,n,Kaonen
Kap,n,Kaps
Kap Finisterre,,
Kap Verde,,
Kap-Verdier,m,Kap-Verdier
Kap-Verdierin,f,Kap-Verdierinnen
Kapampangan,,
Kapaun,m,Kapaune
Kapazitation,f,Kapazitationen
Kapazität,f,Kapazitäten
Kapazitätserweiterung,f,Kapazitätserweiterungen
Kapellbrücke,f,Kapellbrücken
Kapelle,f,Kapellen
Kapelle,,
Kapellenabriss,m,Kapellenabrisse
Kapellenanbau,m,Kapellenanbauten
Kapellenarchitektur,f,Kapellenarchitekturen
Kapellenbau,m,Kapellenbauten
Kapellenbauwerk,n,Kapellenbauwerke
Kapellenberg,m,Kapellenberge
Kapellenberg,,
Kapellenbildstock,m,Kapellenbildstöcke
Kapellenbrand,m,Kapellenbrände
Kapellendach,m,Kapellendächer
Kapellenerker,m,Kapellenerker
Kapellenfenster,,
Kapellengarten,m,Kapellengärten
Kapellengebäude,n,Kapellengebäude
Kapellengeschichte,f,Kapellengeschichten
Kapellengrundmauer,f,Kapellengrundmauern
Kapellenneubau,m,Kapellenneubauten
Kapellennutzung,f,Kapellennutzungen
Kapellenplatz,m,Kapellenplätze
Kapellenruine,f,Kapellenruinen
Kapellensanierung,f,Kapellensanierungen
Kapellenstock,m,Kapellenstöcke
Kapellenturm,m,Kapellentürme
Kapellentür,f,Kapellentüren
Kapellenverein,m,Kapellenvereine
Kapelletat,m,Kapelletats
Kapellfrucht,f,–
Kapellmeister,m,Kapellmeister
Kapellmeisterin,f,Kapellmeisterinnen
Kaper,f,Kapern
Kaper,m,Kaper
Kaperbrief,m,Kaperbriefe
Kaperer,m,Kaperer
Kaperfahrer,m,Kaperfahrer
Kaperfahrt,f,Kaperfahrten
Kapernsauce,f,Kapernsaucen
Kapernsoße,f,Kapernsoßen
Kaperschiff,n,Kaperschiffe
Kapillare,f,Kapillaren
Kapillarität,f,
Kapital,n,
Kapitalbedarf,m,Kapitalbedarfe
Kapitalbeschaffung,f,Kapitalbeschaffungen
Kapitale,f,Kapitalen
Kapitalertrag,m,Kapitalerträge
Kapitalertragssteuer,f,Kapitalertragssteuern
Kapitalflüchtling,m,Kapitalflüchtlinge
Kapitalhilfe,f,Kapitalhilfen
Kapitalhirsch,m,Kapitalhirsche
Kapitalismus,m,
Kapitalismusanalyse,f,Kapitalismusanalysen
Kapitalist,m,Kapitalisten
Kapitalistenschwein,n,Kapitalistenschweine
Kapitalmenge,f,Kapitalmengen
Kapitalrendite,f,Kapitalrenditen
Kapitalsteuer,f,Kapitalsteuern
Kapitalverbrechen,n,Kapitalverbrechen
Kapitalverkehrskontrolle,f,Kapitalverkehrskontrollen
Kapitalzinsfuß,m,Kapitalzinsfüße
Kapitalzufluss,m,Kapitalzuflüsse
Kapitel,n,Kapitel
Kapitell,n,Kapitelle
Kapitelsaal,m,Kapitelsäle
Kapitol,n,
Kapitular,n,Kapitularien
Kapitular,m,Kapitulare
Kapitulare,,
Kapitularium,n,Kapitularien
Kapitulation,f,Kapitulationen
Kapitän,m,Kapitäne
Kapitän zur See,m,Kapitäne zur See
Kapitänleutnant,m,
Kapitänsaufgabe,f,Kapitänsaufgaben
Kapitänsbinde,f,Kapitänsbinden
Kapitänskajüte,f,Kapitänskajüten
Kapitänsschleife,f,Kapitänsschleifen
Kapkolonie,f,
Kaplan,m,Kapläne
Kapland,,
Kapländische Zimmerlinde,f,
Kapo,m,Kapos
Kapo,f,–
Kapodaster,m,Kapodaster
Kapotte,f,Kapotten
Kappa,n,Kappas
Kappadokien,,
Kappe,f,Kappen
Kappeln,,
Kappes,m,
Kaprice,f,Kapricen
Kaprinsäure,,
Kapriole,f,Kapriolen
Kaprize,f,Kaprizen
Kapronsäure,f,Kapronsäuren
Kaprylsäure,,
Kapsel,f,Kapseln
Kapselriss,m,Kapselrisse
Kapstachelbeere,f,Kapstachelbeeren
Kapsulitis,f,Kapsulitiden
Kaptivität,f,
Kapustin,,
Kaput,m,Kapute
Kapuze,f,Kapuzen
Kapuzenjacke,f,Kapuzenjacken
Kapuzenmantel,m,Kapuzenmäntel
Kapuzenpullover,m,Kapuzenpullover
Kapuzenshirt,n,Kapuzenshirts
Kapuzenwaldsänger,m,Kapuzenwaldsänger
Kapuzinade,f,Kapuzinaden
Kapuziner,m,Kapuziner
Kapuzinerin,f,Kapuzinerinnen
Kapuzinerkresse,f,Kapuzinerkressen
Kapverdier,m,Kapverdier
Kapverdierin,f,Kapverdierinnen
Kapverdische Inseln,,
Kar,n,Kare
Karabiner,m,Karabiner
Karabinerhaken,m,Karabinerhaken
Karabinier,m,
Karacho,n,
Karaffe,f,Karaffen
Karaimisch,,
Karakal,m,Karakals
Karakalfell,n,Karakalfelle
Karakalpakisch,,
Karambola,,
Karambolage,f,Karambolagen
Karamell,,
Karamelle,f,Karamellen
Karamellgeruch,m,Karamellgerüche
Karaoke,n,
Karas,,
Karat,n,Karate
Karate,n,
Karateka,m,
Karateka,f,
Karateschule,f,Karateschulen
Karatschai-Balkarisch,,
Karatschi,,
Karausche,f,Karauschen
Karavelle,f,Karavellen
Karawane,f,Karawanen
Karawanenführer,m,Karawanenführer
Karawanenführerin,f,Karawanenführerinnen
Karawanenroute,f,Karawanenrouten
Karawanenstraße,f,Karawanenstraßen
Karawanenweg,m,Karawanenwege
Karawanserei,f,Karawansereien
Karbadisch-Tscherkessisch,,
Karben,,
Karbidlampe,f,Karbidlampen
Karbinol,n,
Karbolmäuschen,n,Karbolmäuschen
Karbon,n,
Karbonade,f,Karbonaden
Karbunkel,m,Karbunkel
Kardamom,,
Kardangelenk,n,Kardangelenke
Karde,f,Karden
Kardeel,n,
Kardinal,m,Kardinäle
Kardinalat,n,Kardinalate
Kardinaldekan,m,Kardinaldekane
Kardinale,n,
Kardinalfrage,f,Kardinalfragen
Kardinalität,f,Kardinalitäten
Kardinalprotodiakon,m,Kardinalprotodiakone
Kardinalsklasse,f,Kardinalsklassen
Kardinalskollegium,n,Kardinalskollegien
Kardinaltugend,f,Kardinaltugenden
Kardinalvikar,m,Kardinalvikare
Kardinalzahl,f,Kardinalzahlen
Kardioide,f,Kardioiden
Kardiologe,m,Kardiologen
Kardiologie,f,
Kardiologin,f,Kardiologinnen
Kardiomegalie,f,Kardiomegalien
Kardiomyopathie,f,Kardiomyopathien
Karelien,,
Karelisch,,
Karenz,f,Karenzen
Karenzzeit,f,Karenzzeiten
Karezza,f,
Karfiol,m,
Karfreitag,m,Karfreitage
Karibe,m,Kariben
Karibik,f,
Karibikinsel,f,Karibikinseln
Karibisches Meer,n,
Karibufell,n,Karibufelle
Karies,f,
Karikatur,f,Karikaturen
Karikaturist,m,Karikaturisten
Karikaturistin,f,Karikaturistinnen
Karina,,
Karl,,
Karl-Marx-Stadt,,
Karlismus,m,
Karlist,m,Karlisten
Karlistenkrieg,m,Karlistenkriege
Karlmann,,
Karlsbad,,
Karlskapelle,f,Karlskapellen
Karlsruhe,,
Karlsruher,m,Karlsruher
Karlsruherin,f,Karlsruherinnen
Karlstadt,,
Karma,n,
Karmette,f,Karmetten
Karmin,n,
Karnat,n,
Karnataka,,
Karner,m,Karner
Karneval,m,
Karnevalshochburg,f,Karnevalshochburgen
Karnevalsumzug,m,Karnevalsumzüge
Karnevalszeit,f,Karnevalszeiten
Karnickel,n,Karnickel
Karnies,n,Karniese
Karniese,f,Karniesen
Karnische,f,Karnischen
Karo,n,Karos
Karoass,n,Karoasse
Karobe,f,Karoben
Karobube,m,Karobuben
Karodame,f,Karodamen
Karok,,
Karolinger,m,Karolinger
Karolingerin,f,Karolingerinnen
Karopapier,n,Karopapiere
Karoschi,m,
Karoshi,m,
Karosserie,f,Karosserien
Karotin,n,
Karotte,f,Karotten
Karottensaft,m,Karottensäfte
Karpaltunnel,m,Karpaltunnel
Karpaten,,Karpaten
Karpell,n,Karpelle
Karpellum,n,Karpella
Karpfen,m,Karpfen
Karpfenstein,m,Karpfensteine
Karpfenteich,m,Karpfenteiche
Karpfenzucht,f,
Karre,f,Karren
Karree,n,Karrees
Karren,m,Karren
Karren,m,
Karrenpost,f,Karrenposten
Karriere,f,Karrieren
Karrierechance,f,Karrierechancen
Karriereende,n,Karriereenden
Karrierefrau,f,Karrierefrauen
Karriereplanung,f,Karriereplanungen
Karrieresprungbrett,n,Karrieresprungbretter
Karriereverlauf,m,Karriereverläufe
Karriol,n,Karriols
Karsamstag,m,Karsamstage
Karsee,m,Karseen
Karst,m,Karste
Karsten,,
Kartag,m,Kartage
Kartaune,f,Kartaunen
Kartause,f,Kartausen
Karte,f,Karten
Kartei,f,Karteien
Karteikarte,f,Karteikarten
Karteikasten,m,
Karteileiche,f,Karteileichen
Kartell,n,Kartelle
Kartellamt,n,Kartellämter
Kartellant,m,Kartellanten
Kartellentscheidung,f,Kartellentscheidungen
Kartellpartei,f,Kartellparteien
Kartellrecht,n,
Kartenflut,f,
Kartenhaus,n,Kartenhäuser
Kartenspiel,n,Kartenspiele
Kartenspieler,m,Kartenspieler
Kartenspielerin,f,Kartenspielerinnen
Kartensprache,f,
Kartentelefon,n,Kartentelefone
Kartentisch,m,Kartentische
