lemma,genus,nominativ plural
Abfalltransport,m,Abfalltransporte
Abfallverbrennung,f,Abfallverbrennungen
Abfallverbringung,f,Abfallverbringungen
Abfallverzeichnis,n,Abfallverzeichnisse
Abfallwirtschaft,f,Abfallwirtschaften
Abfallwirtschaftsbetrieb,m,Abfallwirtschaftsbetriebe
Abfangbahn,f,Abfangbahnen
Abfangen,n,
Abfangjäger,m,Abfangjäger
Abfangsatellit,m,Abfangsatelliten
Abfasung,f,Abfasungen
Abfederung,f,Abfederungen
Abfertigung,f,Abfertigungen
Abfertigungsbaracke,f,Abfertigungsbaracken
Abfertigungsbeamter,m,
Abfett,n,Abfette
Abfiltrieren,n,
Abfindung,f,Abfindungen
Abflug,m,Abflüge
Abflughafen,m,Abflughäfen
Abflugtag,m,Abflugtage
Abflugzeit,f,Abflugzeiten
Abfluss,m,Abflüsse
Abflussrinne,f,Abflussrinnen
Abflussrohr,n,Abflussrohre
Abfolge,f,Abfolgen
Abfrage,f,Abfragen
Abfragesprache,f,Abfragesprachen
Abfressen,n,
Abfuhr,f,Abfuhren
Abführmittel,n,Abführmittel
Abführungszeichen,n,Abführungszeichen
Abfüllerangabe,f,Abfüllerangaben
Abgabe,f,Abgaben
Abgabefrist,f,Abgabefristen
Abgabestelle,f,Abgabestellen
Abgabetermin,m,Abgabetermine
Abgabezug,m,Abgabezüge
Abgang,m,Abgänge
Abgangszeugnis,n,Abgangszeugnisse
Abgas,n,Abgase
Abgasanalysator,m,Abgasanalysatoren
Abgasemission,f,Abgasemissionen
Abgasimmission,f,Abgasimmissionen
Abgasnorm,f,Abgasnormen
Abgasreinigung,f,Abgasreinigungen
Abgassystem,n,Abgassysteme
Abgastest,m,Abgastests
Abgeber,m,Abgeber
Abgeklärtheit,f,
Abgelehntes Damengambit,n,
Abgeltungssteuer,f,Abgeltungssteuern
Abgeltungsteuer,f,Abgeltungsteuern
Abgeordnete,f,
Abgeordnetenbestechung,f,Abgeordnetenbestechungen
Abgeordnetenhaus,n,Abgeordnetenhäuser
Abgeordneter,m,
Abgereche,n,
Abgesang,m,Abgesänge
Abgeschiedener,m,
Abglanz,m,
Abglitt,m,Abglitte
Abgott,m,Abgötter
Abgottschlange,f,Abgottschlangen
Abgrabung,f,Abgrabungen
Abgrenzung,f,Abgrenzungen
Abgrenzungsversuch,m,Abgrenzungsversuche
Abgrund,m,Abgründe
Abgrusung,f,Abgrusungen
Abgunst,f,
Abguss,m,Abgüsse
Abgängigkeitsanzeige,f,Abgängigkeitsanzeigen
Abgängsel,n,Abgängsel
Abgötterei,f,Abgöttereien
Abhandlung,f,Abhandlungen
Abhang,m,Abhänge
Abhebung,f,Abhebungen
Abhilfe,f,Abhilfen
Abholfach,n,Abholfächer
Abholzung,f,Abholzungen
Abhängigkeit,f,Abhängigkeiten
Abhängigkeitsgrammatik,f,Abhängigkeitsgrammatiken
Abhärtung,f,Abhärtungen
Abhöraffäre,f,Abhöraffären
Abhöraktion,f,Abhöraktionen
Abhörmaßnahme,f,Abhörmaßnahmen
Abhörskandal,m,Abhörskandale
Abi,n,Abis
Abi,m,
Abia,,
Abialbon,,
Abiam,,
Abiasaf,,
Abiasaph,,
Abiball,m,Abibälle
Abidjan,,
"Abieta-7,14-dien-19-carbonsäure",f,
Abietinsäure,f,
Abigail,,
Abilo,,
Abiogenese,f,
Abiogenesis,f,
Abiologie,f,
Abiose,f,
Abiosis,f,
Abiotrophie,f,Abiotrophien
Abireise,f,Abireisen
Abisolierzange,f,Abisolierzangen
Abistress,m,
Abitur,n,Abiture
Abiturient,m,Abiturienten
Abiturientia,f,Abiturientien
Abiturientin,f,Abiturientinnen
Abiturium,n,Abiturien
Abiturzeugnis,n,Abiturzeugnisse
Abjudikation,f,Abjudikationen
Abjuration,f,Abjurationen
Abkehr,f,
Abkehrschein,m,Abkehrscheine
Abklatsch,m,Abklatsche
Abklingbecken,n,Abklingbecken
Abkomme,m,Abkommen
Abkommen,n,Abkommen
Abkunft,f,
Abkömmling,m,Abkömmlinge
Abkühlung,f,Abkühlungen
Abkühlungsprozess,m,Abkühlungsprozesse
Abkündigung,f,Abkündigungen
Abkürzung,f,Abkürzungen
Abkürzungsfimmel,m,Abkürzungsfimmel
Abkürzungssprache,f,Abkürzungssprachen
Abkürzungsverzeichnis,n,Abkürzungsverzeichnisse
Abkürzungswörterbuch,n,Abkürzungswörterbücher
Ablad,m,
Ablage,f,Ablagen
Ablagerung,f,Ablagerungen
Ablaktation,f,Ablaktationen
Ablass,m,Ablässe
Ablassbrief,m,Ablassbriefe
Ablassen,n,
Ablasshandel,m,
Ablatio placentae,f,Ablationes placentae
Ablatio retinae,f,Ablationes retinae
Ablation,f,Ablationen
Ablationskühlung,f,
Ablativ,m,Ablative
Ablativus absolutus,m,Ablativi absoluti
Ablauf,m,Abläufe
Ablauforganisation,f,Ablauforganisationen
Ablaufzeit,f,Ablaufzeiten
Ablaut,m,Ablaute
Ablautdoppelung,f,Ablautdoppelungen
Ablaß,,
Ablaß,,
Ableben,n,
Ablegat,m,Ablegaten
Ableger,m,Ableger
Ablehnung,f,Ablehnungen
Ablehnungsgesuch,n,Ablehnungsgesuche
Ablehnungsquote,f,Ablehnungsquoten
Ableitung,f,Ableitungen
Ableitungsmorphem,n,Ableitungsmorpheme
Ableitungssuffix,n,Ableitungssuffixe
Ablenkprisma,n,Ablenkprismen
Ablenkung,f,Ablenkungen
Ablenkungsmanöver,n,Ablenkungsmanöver
Ablenkungsversuch,m,Ablenkungsversuche
Ablepharie,f,
Ablepsie,f,
Ablesung,f,Ablesungen
Ablichtung,f,Ablichtungen
Ablieferung,f,Ablieferungen
Ablieferungstermin,m,Ablieferungstermine
Ablokation,f,Ablokationen
Abluft,f,Ablüfte
Abluftanlage,f,Abluftanlagen
Abluftaufbereitung,f,Abluftaufbereitungen
Abluftgerät,n,Abluftgeräte
Abluftgitter,n,Abluftgitter
Ablufthaube,f,Ablufthauben
Abluftkamin,m,Abluftkamine
Abluftkanal,m,Abluftkanäle
Abluftreinigung,f,Abluftreinigungen
Ablution,f,Ablutionen
Ablöse,f,Ablösen
Ablösung,f,Ablösungen
Abmachung,f,Abmachungen
Abmahnung,f,Abmahnungen
Abmahnwelle,f,Abmahnwellen
Abmangel,m,Abmängel
Abmarsch,m,Abmärsche
Abmessung,f,Abmessungen
Abmoderation,f,Abmoderationen
Abnahme,f,Abnahmen
Abnahmetest,m,Abnahmetests
Abnaki,m,Abnaki
Abnehmer,m,Abnehmer
Abnehmerland,n,Abnehmerländer
Abneigung,f,Abneigungen
Abner,,
Abnormalität,f,Abnormalitäten
Abnormität,f,Abnormitäten
Abnutzung,f,Abnutzungen
Abnutzungserscheinung,f,Abnutzungserscheinungen
Abnützung,f,Abnützungen
Abnützungserscheinung,f,Abnützungserscheinungen
Abo,n,Abos
Abo,,
Abodrite,m,Abodriten
Abokosten,,Abokosten
Abolition,f,Abolitionen
Abolitionismus,m,
Abolitionist,m,Abolitionisten
Abonnement,n,
Abonnent,m,Abonnenten
Abonnentin,f,Abonnentinnen
Abordnung,f,Abordnungen
Aborigine,m,Aborigines
Aborigine,f,Aborigines
Abort,m,Aborte
Abort,m,Aborte
Abort,m,Aborts
Aborterker,m,Aborterker
Abortgrube,f,Abortgruben
Abortivum,n,Abortiva
Abortus,m,Abortus
Abpfiff,m,Abpfiffe
Abplattung,f,Abplattungen
Abprodukt,n,Abprodukte
Abrachie,f,Abrachien
Abraham,,
Abraham,,
Abrahamit,m,Abrahamiten
Abrahamitin,f,Abrahamitinnen
Abrakadabra,n,
Abram,,
Abramowski,,
Abrasax,m,
Abrasch,m,
Abrasio,f,
Abrasio uteri,f,Abrasiones uteri
Abrasion,f,Abrasionen
Abrasionsplatte,f,Abrasionsplatten
Abrasit,m,Abrasite
Abraxas,m,
Abreaktion,f,Abreaktionen
Abrechnung,f,Abrechnungen
Abrecht,,
Abrede,f,Abreden
Abrego,m,Abregos
Abreibebuchstabe,m,Abreibebuchstaben
Abreibung,f,Abreibungen
Abreise,f,Abreisen
Abreisetag,m,Abreisetage
Abreißkalender,m,Abreißkalender
Abrenuntiation,f,Abrenuntiationen
Abri,m,Abris
