Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
entlassen,entlasse,entlässt,entlässt,entließ,entlassen,entließe,entlasse,entlasst,hat
erneuen,erneue,erneust,erneut,erneute,erneut,erneute,erneu,erneut,hat
heißen,heiße,heißt,heißt,hieß,geheißen,hieße,heiß,heißt,hat
schweißen,schweiße,schweißt,schweißt,schweißte,geschweißt,schweißte,schweiße,schweißt,hat
adaptieren,adaptiere,adaptierst,adaptiert,adaptierte,adaptiert,adaptierte,adaptier,adaptiert,hat
abknöpfen,knöpfe ab,knöpfst ab,knöpft ab,knöpfte ab,abgeknöpft,knöpfte ab,knöpf ab,knöpft ab,hat
eintreten,trete ein,trittst ein,tritt ein,trat ein,eingetreten,träte ein,tritt ein,tretet ein,hat
sputen,spute,sputest,sputet,sputete,gesputet,sputete,sput,sputet,hat
versprechen,verspreche,versprichst,verspricht,versprach,versprochen,verspräche,versprich,versprecht,hat
besprechen,bespreche,besprichst,bespricht,besprach,besprochen,bespräche,besprich,besprecht,hat
versagen,versage,versagst,versagt,versagte,versagt,versagte,versage,versagt,hat
knuffen,knuffe,knuffst,knufft,knuffte,geknufft,knuffte,knuff,knufft,hat
analysieren,analysiere,analysierst,analysiert,analysierte,analysiert,analysierte,analysiere,analysiert,hat
siegen,siege,siegst,siegt,siegte,gesiegt,siegte,siege,siegt,hat
anfassen,fasse an,fasst an,fasst an,fasste an,angefasst,fasste an,fasse an,fasst an,hat
freien,freie,freist,freit,freite,gefreit,freite,freie,freit,hat
anspielen,spiele an,spielst an,spielt an,spielte an,angespielt,spielte an,spiele an,spielt an,hat
einstellen,stelle ein,stellst ein,stellt ein,stellte ein,eingestellt,stellte ein,stelle ein,stellt ein,hat
dilatieren,dilatiere,dilatierst,dilatiert,dilatierte,dilatiert,dilatierte,dilatiere,dilatiert,hat
heben,hebe,hebst,hebt,hob,gehoben,höbe,hebe,hebt,hat
boykottieren,boykottiere,boykottierst,boykottiert,boykottierte,boykottiert,boykottierte,boykottiere,boykottiert,hat
verwinden,verwinde,verwindest,verwindet,verwand,verwunden,verwände,verwinde,verwindet,hat
patentieren,patentiere,patentierst,patentiert,patentierte,patentiert,patentierte,patentiere,patentiert,hat
köpfen,köpfe,köpfst,köpft,köpfte,geköpft,köpfte,köpf,köpft,hat
abnutzen,nutze ab,nutzt ab,nutzt ab,nutzte ab,abgenutzt,nutzte ab,nutz ab,nutzt ab,hat
exekutieren,exekutiere,exekutierst,exekutiert,exekutierte,exekutiert,exekutierte,exekutiere,exekutiert,hat
parametrisieren,parametrisiere,parametrisierst,parametrisiert,parametrisierte,parametrisiert,parametrisierte,parametrisiere,parametrisiert,hat
karikieren,karikiere,karikierst,karikiert,karikierte,karikiert,karikierte,karikiere,karikiert,hat
seufzen,seufze,seufzt,seufzt,seufzte,geseufzt,seufzte,seufz,seufzt,hat
drehen,drehe,drehst,dreht,drehte,gedreht,drehte,drehe,dreht,hat
privatisieren,privatisiere,privatisierst,privatisiert,privatisierte,privatisiert,privatisierte,privatisiere,privatisiert,hat
verstaatlichen,verstaatliche,verstaatlichst,verstaatlicht,verstaatlichte,verstaatlicht,verstaatlichte,verstaatlich,verstaatlicht,hat
siezen,sieze,siezt,siezt,siezte,gesiezt,siezte,sieze,siezt,hat
schwitzen,schwitze,schwitzt,schwitzt,schwitzte,geschwitzt,schwitzte,schwitz,schwitzt,hat
nähen,nähe,nähst,näht,nähte,genäht,nähte,nähe,näht,hat
schieben,schiebe,schiebst,schiebt,schob,geschoben,schöbe,schieb,schiebt,hat
erblassen,erblasse,erblasst,erblasst,erblasste,erblasst,erblasste,erblasse,erblasst,ist
beamen,beame,beamst,beamt,beamte,gebeamt,beamte,beam,beamt,hat
rallen,ralle,rallst,rallt,rallte,gerallt,rallte,rall,rallt,hat
implementieren,implementiere,implementierst,implementiert,implementierte,implementiert,implementierte,implementiere,implementiert,hat
verwunden,verwunde,verwundest,verwundet,verwundete,verwundet,verwundete,verwund,verwundet,hat
enervieren,enerviere,enervierst,enerviert,enervierte,enerviert,enervierte,enerviere,enerviert,hat
rezipieren,rezipiere,rezipierst,rezipiert,rezipierte,rezipiert,rezipierte,rezipier,rezipiert,hat
berücksichtigen,berücksichtige,berücksichtigst,berücksichtigt,berücksichtigte,berücksichtigt,berücksichtigte,berücksichtige,berücksichtigt,hat
abbezahlen,bezahle ab,bezahlst ab,bezahlt ab,bezahlte ab,abbezahlt,bezahlte ab,bezahl ab,bezahlt ab,hat
abbitten,bitte ab,bittest ab,bittet ab,bat ab,abgebeten,bäte ab,bitte ab,bittet ab,hat
abblasen,blase ab,bläst ab,bläst ab,blies ab,abgeblasen,bliese ab,blas ab,blast ab,hat
abblassen,blasse ab,blasst ab,blasst ab,blasste ab,abgeblasst,blasste ab,blass ab,blasst ab,ist
auslösen,löse aus,löst aus,löst aus,löste aus,ausgelöst,löste aus,löse aus,löst aus,hat
belabern,belabere,belaberst,belabert,belaberte,belabert,belaberte,belabere,belabert,hat
babysitten,babysitte,babysittest,babysittet,babysittete,gebabysittet,babysittete,babysitte,babysittet,hat
schiften,schifte,schiftest,schiftet,schiftete,geschiftet,schiftete,schifte,schiftet,hat
quatschen,quatsche,quatschst,quatscht,quatschte,gequatscht,quatschte,quatsche,quatscht,hat
dolmetschen,dolmetsche,dolmetschst,dolmetscht,dolmetschte,gedolmetscht,dolmetschte,dolmetsche,dolmetscht,hat
schiefliegen,liege schief,liegst schief,liegt schief,lag schief,schiefgelegen,läge schief,lieg schief,liegt schief,hat
verneinen,verneine,verneinst,verneint,verneinte,verneint,verneinte,verneine,verneint,hat
verewigen,verewige,verewigst,verewigt,verewigte,verewigt,verewigte,verewige,verewigt,hat
verarschen,verarsche,verarschst,verarscht,verarschte,verarscht,verarschte,verarsch,verarscht,hat
melken,melke,melkst,melkt,melkte,gemolken,melkte,melk,melkt,hat
oktavieren,oktaviere,oktavierst,oktaviert,oktavierte,oktaviert,oktavierte,oktaviere,oktaviert,hat
schielen,schiele,schielst,schielt,schielte,geschielt,schielte,schiele,schielt,hat
zusammenfassen,fasse zusammen,fasst zusammen,fasst zusammen,fasste zusammen,zusammengefasst,fasste zusammen,fass zusammen,fasst zusammen,hat
wandern,wandere,wanderst,wandert,wanderte,gewandert,wanderte,wandere,wandert,ist
artikulieren,artikuliere,artikulierst,artikuliert,artikulierte,artikuliert,artikulierte,artikulier,artikuliert,hat
schattieren,schattiere,schattierst,schattiert,schattierte,schattiert,schattierte,schattier,schattiert,hat
unterschätzen,unterschätze,unterschätzt,unterschätzt,unterschätzte,unterschätzt,unterschätzte,unterschätze,unterschätzt,hat
einengen,enge ein,engst ein,engt ein,engte ein,eingeengt,engte ein,eng ein,engt ein,hat
irisieren,irisiere,irisierst,irisiert,irisierte,irisiert,irisierte,irisiere,irisiert,hat
kollidieren,kollidiere,kollidierst,kollidiert,kollidierte,kollidiert,kollidierte,kollidier,kollidiert,ist
operieren,operiere,operierst,operiert,operierte,operiert,operierte,operiere,operiert,hat
charakterisieren,charakterisiere,charakterisierst,charakterisiert,charakterisierte,charakterisiert,charakterisierte,charakterisiere,charakterisiert,hat
abkaufen,kaufe ab,kaufst ab,kauft ab,kaufte ab,abgekauft,kaufte ab,kauf ab,kauft ab,hat
überschätzen,überschätze,überschätzt,überschätzt,überschätzte,überschätzt,überschätzte,überschätze,überschätzt,hat
hassen,hasse,hasst,hasst,hasste,gehasst,hasste,hasse,hasst,hat
kalibrieren,kalibriere,kalibrierst,kalibriert,kalibrierte,kalibriert,kalibrierte,kalibriere,kalibriert,hat
sanktionieren,sanktioniere,sanktionierst,sanktioniert,sanktionierte,sanktioniert,sanktionierte,sanktioniere,sanktioniert,hat
löffeln,löffle,löffelst,löffelt,löffelte,gelöffelt,löffelte,löffle,löffelt,hat
auslöffeln,löffle aus,löffelst aus,löffelt aus,löffelte aus,ausgelöffelt,löffelte aus,löffle aus,löffelt aus,hat
halsen,halse,halst,halst,halste,gehalst,halste,halse,halst,hat
unterminieren,unterminiere,unterminierst,unterminiert,unterminierte,unterminiert,unterminierte,unterminiere,unterminiert,hat
punktieren,punktiere,punktierst,punktiert,punktierte,punktiert,punktierte,punktiere,punktiert,hat
haschen,hasche,haschst,hascht,haschte,gehascht,haschte,hasche,hascht,hat
verkaufen,verkaufe,verkaufst,verkauft,verkaufte,verkauft,verkaufte,verkauf,verkauft,hat
sublimieren,sublimiere,sublimierst,sublimiert,sublimierte,sublimiert,sublimierte,sublimiere,sublimiert,ist
munkeln,munkle,munkelst,munkelt,munkelte,gemunkelt,munkelte,munkle,munkelt,hat
zensieren,zensiere,zensierst,zensiert,zensierte,zensiert,zensierte,zensier,zensiert,hat
kaduzieren,kaduziere,kaduzierst,kaduziert,kaduzierte,kaduziert,kaduzierte,kaduzier,kaduziert,hat
ambulieren,ambuliere,ambulierst,ambuliert,ambulierte,ambuliert,ambulierte,ambuliere,ambuliert,hat
vertauschen,vertausche,vertauschst,vertauscht,vertauschte,vertauscht,vertauschte,vertausch,vertauscht,hat
tolerieren,toleriere,tolerierst,toleriert,tolerierte,toleriert,tolerierte,tolerier,toleriert,hat
walten,walte,waltest,waltet,waltete,gewaltet,waltete,walte,waltet,hat
ausixen,ixe aus,ixt aus,ixt aus,ixte aus,ausgeixt,ixte aus,ix aus,ixt aus,hat
akkreditieren,akkreditiere,akkreditierst,akkreditiert,akkreditierte,akkreditiert,akkreditierte,akkreditier,akkreditiert,hat
labern,labere,laberst,labert,laberte,gelabert,laberte,labere,labert,hat
leiden,leide,leidest,leidet,litt,gelitten,litte,leide,leidet,hat
forcieren,forciere,forcierst,forciert,forcierte,forciert,forcierte,forciere,forciert,hat
präterieren,präteriere,präterierst,präteriert,präterierte,präteriert,präterierte,präteriere,präteriert,hat
schmelzen,schmelze,schmilzt,schmilzt,schmolz,geschmolzen,schmölze,schmilz,schmelzt,ist
mümmeln,mümmle,mümmelst,mümmelt,mümmelte,gemümmelt,mümmelte,mümmle,mümmelt,hat
thesaurieren,thesauriere,thesaurierst,thesauriert,thesaurierte,thesauriert,thesaurierte,thesauriere,thesauriert,hat
brutzeln,brutzle,brutzelst,brutzelt,brutzelte,gebrutzelt,brutzelte,brutzle,brutzelt,hat
telefonieren,telefoniere,telefonierst,telefoniert,telefonierte,telefoniert,telefonierte,telefoniere,telefoniert,hat
klötern,klötere,klöterst,klötert,klöterte,geklötert,klöterte,klöter,klötert,hat
zurückkommen,komme zurück,kommst zurück,kommt zurück,kam zurück,zurückgekommen,käme zurück,komm zurück,kommt zurück,ist
wienern,wienere,wienerst,wienert,wienerte,gewienert,wienerte,wiener,wienert,hat
hypostasieren,hypostasiere,hypostasierst,hypostasiert,hypostasierte,hypostasiert,hypostasierte,hypostasier,hypostasiert,hat
egalisieren,egalisiere,egalisierst,egalisiert,egalisierte,egalisiert,egalisierte,egalisiere,egalisiert,hat
negieren,negiere,negierst,negiert,negierte,negiert,negierte,negiere,negiert,hat
wuppen,wuppe,wuppst,wuppt,wuppte,gewuppt,wuppte,wupp,wuppt,hat
bagatellisieren,bagatellisiere,bagatellisierst,bagatellisiert,bagatellisierte,bagatellisiert,bagatellisierte,bagatellisiere,bagatellisiert,hat
verplempern,verplempere,verplemperst,verplempert,verplemperte,verplempert,verplemperte,verplempere,verplempert,hat
referenzieren,referenziere,referenzierst,referenziert,referenzierte,referenziert,referenzierte,referenziere,referenziert,hat
deklamieren,deklamiere,deklamierst,deklamiert,deklamierte,deklamiert,deklamierte,deklamiere,deklamiert,hat
kodifizieren,kodifiziere,kodifizierst,kodifiziert,kodifizierte,kodifiziert,kodifizierte,kodifiziere,kodifiziert,hat
dominieren,dominiere,dominierst,dominiert,dominierte,dominiert,dominierte,dominier,dominiert,hat
münden,münde,mündest,mündet,mündete,gemündet,mündete,münde,mündet,hat
headbangen,headbange,headbangst,headbangt,headbangte,geheadbangt,headbangte,headbang,headbangt,hat
posieren,posiere,posierst,posiert,posierte,posiert,posierte,posiere,posiert,hat
wackeln,wackle,wackelst,wackelt,wackelte,gewackelt,wackelte,wackele,wackelt,hat
schäkern,schäkere,schäkerst,schäkert,schäkerte,geschäkert,schäkerte,schäkere,schäkert,hat
monieren,moniere,monierst,moniert,monierte,moniert,monierte,moniere,moniert,hat
lupfen,lupfe,lupfst,lupft,lupfte,gelupft,lupfte,lupf,lupft,hat
konturieren,konturiere,konturierst,konturiert,konturierte,konturiert,konturierte,konturier,konturiert,hat
bedürfen,bedarf,bedarfst,bedarf,bedurfte,bedurft,bedürfte,bedürfe,bedürft,hat
albern,albere,alberst,albert,alberte,gealbert,alberte,albere,albert,hat
intonieren,intoniere,intonierst,intoniert,intonierte,intoniert,intonierte,intoniere,intoniert,hat
derblecken,derblecke,derbleckst,derbleckt,derbleckte,derbleckt,derbleckte,derbleck,derbleckt,hat
affizieren,affiziere,affizierst,affiziert,affizierte,affiziert,affizierte,affiziere,affiziert,hat
überreichen,überreiche,überreichst,überreicht,überreichte,überreicht,überreichte,überreich,überreicht,hat
wettern,wettere,wetterst,wettert,wetterte,gewettert,wetterte,wettere,wettert,hat
kichern,kichere,kicherst,kichert,kicherte,gekichert,kicherte,kichere,kichert,hat
hängen,hänge,hängst,hängt,hängte,gehängt,hängte,hänge,hängt,hat
influenzieren,influenziere,influenzierst,influenziert,influenzierte,influenziert,influenzierte,influenzier,influenziert,hat
blecken,blecke,bleckst,bleckt,bleckte,gebleckt,bleckte,blecke,bleckt,hat
täuschen,täusche,täuschst,täuscht,täuschte,getäuscht,täuschte,täusche,täuscht,hat
korrelieren,korreliere,korrelierst,korreliert,korrelierte,korreliert,korrelierte,korreliere,korreliert,hat
währen,währe,währst,währt,währte,gewährt,währte,währe,währt,hat
fluten,–,–,flutet,–,geflutet,–,–,–,ist
kleben,klebe,klebst,klebt,klebte,geklebt,klebte,kleb,klebt,hat
lösen,löse,löst,löst,löste,gelöst,löste,löse,löst,hat
schanghaien,schanghaie,schanghaist,schanghait,schanghaite,schanghait,schanghaite,schanghai,schanghait,hat
strömen,ströme,strömst,strömt,strömte,geströmt,strömte,ströme,strömt,ist
ergießen,ergieße,ergießt,ergießt,ergoss,ergossen,ergösse,ergieß,ergießt,hat
fokussieren,fokussiere,fokussierst,fokussiert,fokussierte,fokussiert,fokussierte,fokussiere,fokussiert,hat
schunkeln,schunkle,schunkelst,schunkelt,schunkelte,geschunkelt,schunkelte,schunkle,schunkelt,hat
stauen,staue,staust,staut,staute,gestaut,staute,stau,staut,hat
wallen,walle,wallst,wallt,wallte,gewallt,wallte,walle,wallet,ist
stocken,stocke,stockst,stockt,stockte,gestockt,stockte,stock,stockt,hat
branden,brande,brandest,brandet,brandete,gebrandet,brandete,brand,brandet,hat
ziepen,ziepe,ziepst,ziept,ziepte,geziept,ziepte,ziepe,ziept,hat
bergen,berge,birgst,birgt,barg,geborgen,bärge,birg,bergt,hat
einfallen,falle ein,fällst ein,fällt ein,fiel ein,eingefallen,fiele ein,falle ein,fallt ein,ist
hereinkommen,komme herein,kommst herein,kommt herein,kam herein,hereingekommen,käme herein,komm herein,kommt herein,ist
quellen,quelle,quillst,quillt,quoll,gequollen,quölle,quill,quellt,ist
jauchzen,jauchze,jauchzt,jauchzt,jauchzte,gejauchzt,jauchzte,jauchze,jauchzt,hat
tröpfeln,tröpfle,tröpfelst,tröpfelt,tröpfelte,getröpfelt,tröpfelte,tröpfle,tröpfelt,hat
verebben,verebbe,verebbst,verebbt,verebbte,verebbt,verebbte,verebbe,verebbet,ist
belagern,belagere,belagerst,belagert,belagerte,belagert,belagerte,belager,belagert,hat
ermitteln,ermittle,ermittelst,ermittelt,ermittelte,ermittelt,ermittelte,ermittle,ermittelt,hat
hehlen,hehle,hehlst,hehlt,hehlte,gehehlt,hehlte,hehl,hehlt,hat
verhehlen,verhehle,verhehlst,verhehlt,verhehlte,verhehlt,verhehlte,verhehle,verhehlt,hat
scheiden,scheide,scheidest,scheidet,schied,geschieden,schiede,scheid,scheidet,hat
klauben,klaube,klaubst,klaubt,klaubte,geklaubt,klaubte,klaube,klaubt,hat
anastomosieren,anastomosiere,anastomosierst,anastomosiert,anastomosierte,anastomosiert,anastomosierte,anastomosier,anastomosiert,hat
wahrnehmen,nehme wahr,nimmst wahr,nimmt wahr,nahm wahr,wahrgenommen,nähme wahr,nimm wahr,nehmt wahr,hat
erweitern,erweitere,erweiterst,erweitert,erweiterte,erweitert,erweiterte,erweitere,erweitert,hat
maturieren,maturiere,maturierst,maturiert,maturierte,maturiert,maturierte,maturiere,maturiert,hat
aufbringen,bringe auf,bringst auf,bringt auf,brachte auf,aufgebracht,brächte auf,bringe auf,bringt auf,hat
starten,starte,startest,startet,startete,gestartet,startete,starte,startet,hat
verholen,verhole,verholst,verholt,verholte,verholt,verholte,verhole,verholt,hat
klarieren,klariere,klarierst,klariert,klarierte,klariert,klarierte,klarier,klariert,hat
aufmerken,merke auf,merkst auf,merkt auf,merkte auf,aufgemerkt,merkte auf,merk auf,merkt auf,hat
zurren,zurre,zurrst,zurrt,zurrte,gezurrt,zurrte,zurre,zurrt,hat
verwirren,verwirre,verwirrst,verwirrt,verwirrte,verwirrt,verwirrte,verwirre,verwirrt,hat
kreuzigen,kreuzige,kreuzigst,kreuzigt,kreuzigte,gekreuzigt,kreuzigte,kreuzig,kreuzigt,hat
stillen,stille,stillst,stillt,stillte,gestillt,stillte,still,stillt,hat
versteinern,versteinere,versteinerst,versteinert,versteinerte,versteinert,versteinerte,versteinere,versteinert,ist
aufrechnen,rechne auf,rechnest auf,rechnet auf,rechnete auf,aufgerechnet,rechnete auf,rechne auf,rechnet auf,hat
bestärken,bestärke,bestärkst,bestärkt,bestärkte,bestärkt,bestärkte,bestärke,bestärkt,hat
planschen,plansche,planschst,planscht,planschte,geplanscht,planschte,plansch,planscht,hat
plantschen,plantsche,plantschst,plantscht,plantschte,geplantscht,plantschte,plantsch,plantscht,hat
pantschen,pantsche,pantschst,pantscht,pantschte,gepantscht,pantschte,pantsch,pantscht,hat
serbeln,serbele,serbelst,serbelt,serbelte,geserbelt,serbelte,serbele,serbelt,hat
vernadern,vernadere,vernaderst,vernadert,vernaderte,vernadert,vernaderte,vernadere,vernadert,hat
urinieren,uriniere,urinierst,uriniert,urinierte,uriniert,urinierte,uriniere,uriniert,hat
raffen,raffe,raffst,rafft,raffte,gerafft,raffte,raff,rafft,hat
knapsen,knapse,knapst,knapst,knapste,geknapst,knapste,knaps,knapst,hat
zumachen,mache zu,machst zu,macht zu,machte zu,zugemacht,machte zu,mach zu,macht zu,hat
entfernen,entferne,entfernst,entfernt,entfernte,entfernt,entfernte,entferne,entfernt,hat
stimmen,stimme,stimmst,stimmt,stimmte,gestimmt,stimmte,stimm,stimmt,hat
auffrieren,friere auf,frierst auf,friert auf,fror auf,aufgefroren,fröre auf,frier auf,friert auf,hat
abkacken,kacke ab,kackst ab,kackt ab,kackte ab,abgekackt,kackte ab,kack ab,kackt ab,hat
weisen,weise,weist,weist,wies,gewiesen,wiese,weis,weist,hat
schließen,schließe,schließt,schließt,schloss,geschlossen,schlösse,schließe,schließt,hat
rechen,reche,rechst,recht,rechte,gerecht,rechte,reche,recht,hat
auferstehen,auferstehe,auferstehst,aufersteht,auferstand,auferstanden,auferstünde,aufersteh,aufersteht,ist
mundieren,mundiere,mundierst,mundiert,mundierte,mundiert,mundierte,mundier,mundiert,hat
kredenzen,kredenze,kredenzt,kredenzt,kredenzte,kredenzt,kredenzte,kredenze,kredenzt,hat
malen,male,malst,malt,malte,gemalt,malte,male,malt,hat
anberaumen,beraume an,beraumst an,beraumt an,beraumte an,anberaumt,beraumte an,beraume an,beraumt an,hat
prokeln,prokele,prokelst,prokelt,prokelte,geprokelt,prokelte,prokel,prokelt,hat
ausfallen,falle aus,fällst aus,fällt aus,fiel aus,ausgefallen,fiele aus,falle aus,fallt aus,ist
abweisen,weise ab,weist ab,weist ab,wies ab,abgewiesen,wiese ab,weise ab,weist ab,hat
votieren,votiere,votierst,votiert,votierte,votiert,votierte,votiere,votiert,hat
kontrahieren,kontrahiere,kontrahierst,kontrahiert,kontrahierte,kontrahiert,kontrahierte,kontrahiere,kontrahiert,hat
protestieren,protestiere,protestierst,protestiert,protestierte,protestiert,protestierte,protestiere,protestiert,hat
knechten,knechte,knechtest,knechtet,knechtete,geknechtet,knechtete,knechte,knechtet,hat
abkupfern,kupfere ab,kupferst ab,kupfert ab,kupferte ab,abgekupfert,kupferte ab,kupfere ab,kupfert ab,hat
beinhalten,beinhalte,beinhaltest,beinhaltet,beinhaltete,beinhaltet,beinhaltete,beinhalte,beinhaltet,hat
lärmen,lärme,lärmst,lärmt,lärmte,gelärmt,lärmte,lärme,lärmt,hat
gewittern,—,—,gewittert,gewitterte,gewittert,gewitterte,—,—,hat
altern,altere,alterst,altert,alterte,gealtert,alterte,altere,altert,ist
quadrieren,quadriere,quadrierst,quadriert,quadrierte,quadriert,quadrierte,quadriere,quadriert,hat
abspecken,specke ab,speckst ab,speckt ab,speckte ab,abgespeckt,speckte ab,speck ab,speckt ab,hat
hungern,hungere,hungerst,hungert,hungerte,gehungert,hungerte,hungere,hungert,hat
verhungern,verhungere,verhungerst,verhungert,verhungerte,verhungert,verhungerte,verhungere,verhungert,ist
aushungern,hungere aus,hungerst aus,hungert aus,hungerte aus,ausgehungert,hungerte aus,hungere aus,hungert aus,hat
puschen,pusche,puschst,puscht,puschte,gepuscht,puschte,pusch,puscht,hat
lizenzieren,lizenziere,lizenzierst,lizenziert,lizenzierte,lizenziert,lizenzierte,lizenziere,lizenziert,hat
harnen,harne,harnst,harnt,harnte,geharnt,harnte,harn,harnt,hat
modern,modere,moderst,modert,moderte,gemodert,moderte,modere,modert,hat
erpressen,erpresse,erpresst,erpresst,erpresste,erpresst,erpresste,erpress,erpresst,hat
ermorden,ermorde,ermordest,ermordet,ermordete,ermordet,ermordete,ermorde,ermordet,hat
ergaunern,ergaunere,ergaunerst,ergaunert,ergaunerte,ergaunert,ergaunerte,ergaunere,ergaunert,hat
überlisten,überliste,überlistest,überlistet,überlistete,überlistet,überlistete,überliste,überlistet,hat
verhaften,verhafte,verhaftest,verhaftet,verhaftete,verhaftet,verhaftete,verhafte,verhaftet,hat
verlinken,verlinke,verlinkst,verlinkt,verlinkte,verlinkt,verlinkte,verlinke,verlinkt,hat
chiffrieren,chiffriere,chiffrierst,chiffriert,chiffrierte,chiffriert,chiffrierte,chiffriere,chiffriert,hat
dechiffrieren,dechiffriere,dechiffrierst,dechiffriert,dechiffrierte,dechiffriert,dechiffrierte,dechiffriere,dechiffriert,hat
stampfen,stampfe,stampfst,stampft,stampfte,gestampft,stampfte,stampf,stampft,hat
schalten,schalte,schaltest,schaltet,schaltete,geschaltet,schaltete,schalt,schaltet,hat
füsilieren,füsiliere,füsilierst,füsiliert,füsilierte,füsiliert,füsilierte,füsiliere,füsiliert,hat
vierteilen,vierteile,vierteilst,vierteilt,vierteilte,viergeteilt,vierteilte,vierteil,vierteilt,hat
erdolchen,erdolche,erdolchst,erdolcht,erdolchte,erdolcht,erdolchte,erdolche,erdolcht,hat
vergiften,vergifte,vergiftest,vergiftet,vergiftete,vergiftet,vergiftete,vergift,vergiftet,hat
wiederbeleben,belebe wieder,belebst wieder,belebt wieder,belebte wieder,wiederbelebt,belebte wieder,beleb wieder,belebt wieder,hat
rühmen,rühme,rühmst,rühmt,rühmte,gerühmt,rühmte,rühm,rühmt,hat
retuschieren,retuschiere,retuschierst,retuschiert,retuschierte,retuschiert,retuschierte,retuschiere,retuschiert,hat
touchieren,touchiere,touchierst,touchiert,touchierte,touchiert,touchierte,touchiere,touchiert,hat
trepanieren,trepaniere,trepanierst,trepaniert,trepanierte,trepaniert,trepanierte,trepaniere,trepaniert,hat
parlieren,parliere,parlierst,parliert,parlierte,parliert,parlierte,parliere,parliert,hat
konversieren,konversiere,konversierst,konversiert,konversierte,konversiert,konversierte,konversier,konversiert,hat
konkurrieren,konkurriere,konkurrierst,konkurriert,konkurrierte,konkurriert,konkurrierte,konkurriere,konkurriert,hat
präzisieren,präzisiere,präzisierst,präzisiert,präzisierte,präzisiert,präzisierte,präzisier,präzisiert,hat
lamentieren,lamentiere,lamentierst,lamentiert,lamentierte,lamentiert,lamentierte,lamentiere,lamentiert,hat
düpieren,düpiere,düpierst,düpiert,düpierte,düpiert,düpierte,düpiere,düpiert,hat
offerieren,offeriere,offerierst,offeriert,offerierte,offeriert,offerierte,offeriere,offeriert,hat
schildern,schildere,schilderst,schildert,schilderte,geschildert,schilderte,schildere,schildert,hat
schwächeln,schwächle,schwächelst,schwächelt,schwächelte,geschwächelt,schwächelte,schwächle,schwächelt,hat
betrinken,betrinke,betrinkst,betrinkt,betrank,betrunken,betränke,betrink,betrinkt,hat
improvisieren,improvisiere,improvisierst,improvisiert,improvisierte,improvisiert,improvisierte,improvisiere,improvisiert,hat
polemisieren,polemisiere,polemisierst,polemisiert,polemisierte,polemisiert,polemisierte,polemisier,polemisiert,hat
reinigen,reinige,reinigst,reinigt,reinigte,gereinigt,reinigte,reinig,reinigt,hat
kommerzialisieren,kommerzialisiere,kommerzialisierst,kommerzialisiert,kommerzialisierte,kommerzialisiert,kommerzialisierte,kommerzialisiere,kommerzialisiert,hat
streiken,streike,streikst,streikt,streikte,gestreikt,streikte,streik,streikt,hat
diskutieren,diskutiere,diskutierst,diskutiert,diskutierte,diskutiert,diskutierte,diskutier,diskutiert,hat
duellieren,duelliere,duellierst,duelliert,duellierte,duelliert,duellierte,duellier,duelliert,hat
testieren,testiere,testierst,testiert,testierte,testiert,testierte,testier,testiert,hat
jodeln,jodele,jodelst,jodelt,jodelte,gejodelt,jodelte,jodle,jodelt,hat
herunterladen,lade herunter,lädst herunter,lädt herunter,lud herunter,heruntergeladen,lüde herunter,lade herunter,ladet herunter,hat
kritteln,krittle,krittelst,krittelt,krittelte,gekrittelt,krittelte,krittle,krittelt,hat
peinigen,peinige,peinigst,peinigt,peinigte,gepeinigt,peinigte,peinig,peinigt,hat
abhängen,hänge ab,hängst ab,hängt ab,hing ab,abgehangen,hinge ab,häng ab,hängt ab,hat
wispern,wispere,wisperst,wispert,wisperte,gewispert,wisperte,wisper,wispert,hat
repatriieren,repatriiere,repatriierst,repatriiert,repatriierte,repatriiert,repatriierte,repatriiere,repatriiert,hat
Vorlage:Formatvorlage (Verb vereinfacht),fühle,fühlst,fühlt,fühlte,gefühlt,fühlte,fühl,fühlt,hat
christianisieren,christianisiere,christianisierst,christianisiert,christianisierte,christianisiert,christianisierte,christianisiere,christianisiert,hat
inthronisieren,inthronisiere,inthronisierst,inthronisiert,inthronisierte,inthronisiert,inthronisierte,inthronisiere,inthronisiert,hat
verscherbeln,verscherble,verscherbelst,verscherbelt,verscherbelte,verscherbelt,verscherbelte,verscherble,verscherbelt,hat
bramarbasieren,bramarbasiere,bramarbasierst,bramarbasiert,bramarbasierte,bramarbasiert,bramarbasierte,bramarbasiere,bramarbasiert,hat
filzen,filze,filzt,filzt,filzte,gefilzt,filzte,filze,filzt,hat
einpflegen,pflege ein,pflegst ein,pflegt ein,pflegte ein,eingepflegt,pflegte ein,pfleg ein,pflegt ein,hat
ketteln,kettele,kettelst,kettelt,kettelte,gekettelt,kettelte,kettele,kettelt,hat
foulen,foule,foulst,foult,foulte,gefoult,foulte,foul,foult,hat
erinnern,erinnere,erinnerst,erinnert,erinnerte,erinnert,erinnerte,erinnere,erinnert,hat
erwerben,erwerbe,erwirbst,erwirbt,erwarb,erworben,erwürbe,erwirb,erwerbt,hat
aufdecken,decke auf,deckst auf,deckt auf,deckte auf,aufgedeckt,deckte auf,deck auf,deckt auf,hat
