Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
inhaftieren,inhaftiere,inhaftierst,inhaftiert,inhaftierte,inhaftiert,inhaftierte,inhaftiere,inhaftiert,hat
aufarbeiten,arbeite auf,arbeitest auf,arbeitet auf,arbeitete auf,aufgearbeitet,arbeitete auf,arbeite auf,arbeitet auf,hat
ersaufen,ersaufe,ersäufst,ersäuft,ersoff,ersoffen,ersöffe,ersaufe,ersauft,ist
ellbögeln,ellbögle,ellbögelst,ellbögelt,ellbögelte,geellbögelt,ellbögelte,ellbögle,ellbögelt,hat
muffen,muffe,muffst,mufft,muffte,gemufft,muffte,muff,mufft,hat
grünen,grüne,grünst,grünt,grünte,gegrünt,grünte,grüne,grünt,hat
totschweigen,schweige tot,schweigst tot,schweigt tot,schwieg tot,totgeschwiegen,schwiege tot,schweig tot,schweigt tot,hat
teleportieren,teleportiere,teleportierst,teleportiert,teleportierte,teleportiert,teleportierte,teleportiere,teleportiert,hat
netzwerken,netzwerke,netzwerkst,netzwerkt,netzwerkte,genetzwerkt,netzwerkte,netzwerke,netzwerkt,hat
mediatisieren,mediatisiere,mediatisierst,mediatisiert,mediatisierte,mediatisiert,mediatisierte,mediatisiere,mediatisiert,hat
stillstehen,stehe still,stehst still,steht still,stand still,stillgestanden,stände still,steh still,steht still,hat
uraufführen,uraufführe,uraufführst,uraufführt,uraufführte,uraufgeführt,uraufführte,uraufführ,uraufführt,hat
abknutschen,knutsche ab,knutschst ab,knutscht ab,knutschte ab,abgeknutscht,knutschte ab,knutsche ab,knutscht ab,hat
busseln,bussle,busselst,busselt,busselte,gebusselt,busselte,bussle,busselt,hat
abküssen,küsse ab,küsst ab,küsst ab,küsste ab,abgeküsst,küsste ab,küss ab,küsst ab,hat
eincremen,creme ein,cremst ein,cremt ein,cremte ein,eingecremt,cremte ein,crem ein,cremt ein,hat
verlautern,verlautere,verlauterst,verlautert,verlauterte,verlautert,verlauterte,verlautere,verlautert,hat
verleisern,verleisere,verleiserst,verleisert,verleiserte,verleisert,verleiserte,verleisere,verleisert,hat
verfliegen,verfliege,verfliegst,verfliegt,verflog,verflogen,verflöge,verflieg,verfliegt,hat
treideln,treidele,treidelst,treidelt,treidelte,getreidelt,treidelte,treidle,treidelt,hat
einbrocken,brocke ein,brockst ein,brockt ein,brockte ein,eingebrockt,brockte ein,brock ein,brockt ein,hat
durchmachen,mache durch,machst durch,macht durch,machte durch,durchgemacht,machte durch,mach durch,macht durch,hat
schocken,schocke,schockst,schockt,schockte,geschockt,schockte,schocke,schockt,hat
durchgehen,gehe durch,gehst durch,geht durch,ging durch,durchgegangen,ginge durch,geh durch,geht durch,ist
intermittieren,intermittiere,intermittierst,intermittiert,intermittierte,intermittiert,intermittierte,intermittier,intermittiert,hat
staubsaugen,staubsauge,staubsaugst,staubsaugt,staubsaugte,gestaubsaugt,staubsaugte,staubsauge,staubsaugt,hat
interponieren,interponiere,interponierst,interponiert,interponierte,interponiert,interponierte,interponier,interponiert,hat
